Equity Solutions USA,,,
37,"Is any non-residential or work/live area indicated? (If yes, are photos/comments provided?)",,
40,"Do the kitchen and bathroom details reflect any ""damaged and nonfunctional"" status?",,
41,"Are any defects, damages or deficiencies noted that affect soundness/structural integrity? (If yes, are photos/comments provided?)",,
42,"Are the required photos provided: kitchens, baths, main living areas (living, family, dining, bedrooms), below grade, finished/unfinished, any physical defect, damage, deficiencies and any updates or renovations?",,
43,"Does the report indicate the presence of an ADU or outbuildings? If yes, check specific investor eligibility.",,
,,,
FUNCTIONAL OBSOLESCENCE / VEHICLE STORAGE / PROPERTY AMENITIES,,,
44,Functional Obsolescence: Has the appraiser noted any functional obsolescence?,,
45,"Vehicle Storage: Are any defects, damages or deficiencies noted? (If yes, are photos/comments provided?)",,
46,"Property Amenities: Are any defects, damages or deficiencies noted? (If yes, are photos/comments provided?)",,
,,,
QUALITY AND CONDITION / HIGHEST AND BEST USE,,,
47,Does the overall quality rating of Q1-Q6 meet guidelines or investor criteria?,,
48,Does the overall condition rating of C1-C6 meet guidelines or investor criteria?,,
49,Has the appraiser indicated that the present use is the highest and best use?  ,,
,"Has the appraiser included the four (4) tests for Highest and Best Use? (Financially, Phyisically, Legally, Maximum Productivity)",,
MARKET,,,
50,"Does the appraiser provide an outline of the market boundaries using north, south, east and west?",,
51,Are any factors noted that may affect marketability?,,
52,Is the median days on market reflective of an active market?,,
53,Is the subject property sale price within the market price range?,,
54,Is there an indication that distressed sales is a factor and impacting the market?,,
55,Does demand/supply reflect an oversupply?,,
56,Is marketing time more than 6 months?,,
57,Does the market commentary/price trend graph include any indication that market values are declining?,,
58,Does the market commentary support that the subject property conforms to the present use?,,
59,Has the appraiser provided the appropriate graphs in the Market Exhibit section?,,
,,,
PROJECT - PUD (IF APPLICABLE),,,
60,Is the developer/builder in control of the HOA?,,
61,Has the monthly HOA fee been included in the total housing payment?,,
62,Are there any known legal actions or unit special assessments?,,
,,,
SUBJECT LISTING / SALES CONTRACT / PRIOR SALE AND TRANSFER HISTORY,,,
63,Is this a refinance transaction and is the property currently listed?,,
64,Did the appraiser analyze the contract (if applicable)?,,
65,Are personal items conveyed in the sales contract?,,
66,Is the transaction non-arm's length?,,
67,Is any financial assistance being paid by any party on behalf of the borrower?,,
68,Are there any known sales concessions?,,
69,Does the prior sale and transfer history indicate any disturbing trends in the last 3 years?,,
,,,
SALES COMPARISON APPROACH,,,
70,"Are the comparable sales located within an acceptable distance from the subject based on location? Exp: Urban - under 1 mile. Suburban - under 2 mile, Rural - under 5 miles. / If under these recommended mileage, pleased esnure commentay. ",,
71,Has the appraiser provided 2 data sources?,,
72,Are the photographs in color and clear and show subject property and comparable sales of similar design and appeal?,,
73,Are at least 3 closed sales provided as comparable sales?,,
74,Is the sale price of the subject bracketed by the sale prices of the comparable sales?,,
75,Has the appraiser included appropriate adjustments for any differences in sales concessions?,,
76,Do the comparable sales indicate contract sales within the last 12 months or appropriate time frame for current market conditions?,,
77,Did the appraiser provide commentary to support any time adjustments?,,
78,Do the comparable sales have similar property rights?,,
79,"Are the comparable sales sites similar in size and topography or, if not, have the appropriate adjustments been applied?",,
80,Are any of the comparable sales located within the subject neighborhood?,,
81,"If the subject is located in a PUD, is 1 comp from within the PUD and 1 comp outside of the PUD?",,
82,"Do the comps display similar site influences, environmental conditions and view as the subject property?",,
83,Are the comparable sales similar in age and design?,,
84,"If the subject utilities are not public, do comparable sales exhibit market acceptance?",,
85,"Energy efficient and green features: Does the subject property include solar panels? (If yes, check investor guidelines.)",,
86,Is the subject bedroom count bracketed by the comparable sales?,,
87,Is the subject bathroom count bracketed by the comparable sales?,,
90,Does the Sales Comparison Map show the subject property and the comparable sales in a similar location with similar influences?,,
91,Adjustments: Are adjustments in the proper direction (+/-)?,,
92,Adjustments: Are adjustments applied for differences between the subject property and the comparable sales?,,
93,Adjustments: Are there any large across-the-board adjustments?,,
94,Adjustments: Do adjustments appear to be supported and explained by the appraiser?,,
,,,
RECONCILIATION / APPRAISER CERTIFICATION,,,
95,How has the report been completed? (As Is / Subject to Repair / Subject to Inspection / Subject to Completion),,
,,,
97,Does the appraised value support the sale price?,,
98,"Do any apparent defects, damages or deficiencies require repairs to bring the overall condition rating to an acceptable rating?",,
99,"Did the appraiser provide an estimated cost for repair? (If yes, does the sales contract address which party will remedy?)",,
100,"Is the appraisal signed and dated, and is the appraiser's certification or license number and expiration date entered?",,
,,,
,,,
,,,
FHA ASSIGNMENTS,,,
"*If property does NOT meet minimum HUD guidelines, report MUST be made subject to",,,
"Per HUD's directive, all Site Condos must be on the 1073 form.",,,
,,,
FHA Requirements,,Acceptable,Needed
FHA Case #,FHA Case # must be located in the upper right hand corner and located on all pages of the report. CASE # MUST BE REPORTED IN THIS FORMAT: XXX-XXXXXXX. 10 NUMBERS TOTAL AND A DASH BETWEEN. THIS IS REQUIRED BY FHA.,,
FHA Intended USE & Intended User,"The appraiser MUST include BOTH BELOW STATEMENTS. EXAMPLE: The INTENDED USER of this appraisal report is the Lender/Client and HUD/FHA. The Intended Use is to evaluate the property that is the subject of this appraisal for a mortgage finance transaction, subject to the stated Scope of Work, purpose of the appraisal, reporting requirements of this appraisal report form, and Definition of Market Value. No additional Intended Users are identified by the appraiser. EXAMPLE FOR INTENDED USE: The INTENDED USE of the appraisal is solely to assist FHA in assessing the risk of the property securing the FHA-insured mortgage (24 CFR 200.145(b)).",,
FHA/HUD Minimum Property Requirements,Include the statement noting if the subject meets FHA Minimum Property Requirements per HUD Handbook 4000.1 or if “subject to” include property will meet FHA Minimum Property Requirements upon completion of the subject to repairs.,,
Comparable Sales,"Comparable sales 1, 2 and 3 MUST be within 12 months of the effective date.",,
,,,
FHA Repairs,"If the property is in need of repair(s) which surpass the typically deemed cosmetic repair(s), alteration(s) or inspection conditions, complete the appraisal “subject to”. Note such repair(s), alteration(s) or inspection conditions. This includes making water, furnace, electrical and mechanics operational if they were not at the time of inspection. Please provide cost to cure for these items.",,
IF Primary Heat source is a Space Heater,"When the primary heat source for the home is a space heater, verify and clearly state that the subject’s heat source is permanently affixed to the house. Also, verify and indicate that it can heat and maintain a temperature of at least 50 degrees Fahrenheit in all living spaces and those spaces with plumbing, and/or is acceptable to the local jurisdictional authority.",,
IF there are security Bars on the windows,"For properties with security bars on windows, clearly state that at least one window in every bedroom has security bars with quick-release latches to allow for emergency exit.",,
FHA photo requirements,"All sides of the subject must be provided, Front, Rear, Street.",,
Estimated Remaining Economic Life for FHA,"Estimated Remaining Economic Life must be given for all single-family, multi-family and condominiums. If the Estimated Remaining Economic Life is less than 30 years on FHA loans, please clearly explain why the subject does not meet the FHA minimum of 30 years remaining economic life.",,
Attic/Crawl Requirement for FHA,"Attic/Crawl: An inspection/viewing of the subject’s attic and crawl space are required, as well as a comment stating you made a Head and Shoulders inspection of the attic and crawl.",,
Additional Parcels (excess or surplus land),"If the subject property being appraised includes multiple parcels, be sure to properly analyze them based on guidance in HUD 4000.1 to determine and report the existence of excess or surplus land. Commentary if land is excess or surplus is required in the report. The appraiser must include surplus land in the valuation. Excess land should not be included in the valuation.",,
Well and Septic Requirements for FHA,"Appraiser must comment if Public Water and/or Sewer is available for hookup. If public water and/or sewer hookup is available, please provide cost to hookup.",,
Well and Septic DISTANCE Requirements for FHA,"Provide commentary on the distance between the private well and septic. The well must be at least 50 ft. from septic tank, 100 ft. from septic drain field, and 10 ft. from property lines. Commentary needs to be specific to the FHA 4000.1 distance requirements.",,
Appliances,"THE APPRAISER MUST OPERATE ANY BUILT IN APPLIANCES THAT ARE PART OF THE PROPERTY, STOVE, DISHWASHER, ETC. A STATEMENT MUST BE PROVIDED THAT APPLIANCES WERE OPERATIONAL OR NOT.",,
Mechanicals,"THE APPRAISER MUST STATE THAT MECHANICALS ARE OR ARE NOT OPERATIONAL. MECHANICAL ARE: WATER HEATER, FURNACE, AC, ECT.",,
Utilities,"APPRAISER MUST COMMENT IS UTILITIES ARE OR ARE NOT OPERATIONAL. UTILITIES ARE: WATER, ELECTRIC, GAS, ETC.",,
Roof,"If the appraiser states the roof has less than 2 years of remaining life, the report must be made subject to.",,
,,,
,,,
COST APPROACH & REVISION PROCESS,,,
Cost Approach,The cost approach is required on all Manufactured reports. (1004C) Cost approach must be completed per section. ,,
,,,
When a revision is found please respond as follows:,,,
**The appraisers name is on the order details page as well as the subject's address,,,
"Hello appraisers name,

Equity Solutions USA has performed a Quality Control Review for the property located at subject address and found the following results which require your comments or revisions:

1. Please add xxxxxxxxx
2. xxxxxx

When your revisions and/or comments are ready, re-deliver the report the same way you originally delivered it. Per USPAP, the date of the revised report should be the date that it is transmitted. When resubmitting a revised or corrected report, make sure to update the Date of Signature and Report. Please address all underwriter revisions and any other changes in a revised report with a dated comment. This ensures that the revision request has been addressed and assists the client. Further guidance can be found in FAQ 148 of the 2024/2025 edition of the USPAP. All revision requests are due to Equity Solutions within 24 hours of receipt.",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
